Date,Round,HomeTeam,AwayTeam,Possession_Home,Possession_Away,Home_duels_success_rate,Away_duels_success_rate,Home_aerials_success_rate,Away_aerials_success_rate,Home_interceptions,Away_interceptions,Home_offsides,Away_offsides,Home_corners,Away_corners,Home_passes,Away_passes,Home_long_passes,Away_long_passes,Home_passing_acc,Away_passing_acc,Home_passing_acc_opp_half,Away_passing_acc_opp_half,Home_crosses,Away_crosses,Home_crossing_acc,Away_crossing_acc,HomeGoals,AwayGoals,HomeShots,AwayShots,HomeSOT,AwaySOT,Home_blocked_shots,Away_blocked_shots,Home_Shots_OB,Away_Shots_OB,Home_Shots_IB,Away_shots_IB,Home_shooting_acc,Away_shooting_acc,HomeTackles,AwayTackles,Home_Tackle_success_rate,Away_Tackle_success_rate,HomeClearances,AwayClearances,HomeFouls,AwayFouls,HomeYellows,AwayYellows,HomeReds,AwayReds,Referee,Time
26/09/2020,5,Asse,Rennes,0.48,0.52,0.51,0.49,0.54,0.46,8,12,5,0,6,4,432,482,60,66,0.83,0.86,0.6,0.71,25,17,0.08,0.29,0,3,6,10,4,6,0,3,2,2,4,8,0.67,0.6,22,22,0.59,0.5,9,20,11,12,1,1,0,0,Benoît Bastien, 17:00
04/10/2020,6,Bordeaux,Dijon Fco,0.5,0.5,0.5,0.5,0.71,0.29,24,7,2,0,5,4,498,496,55,40,0.85,0.82,0.75,0.68,17,14,0.47,0.21,3,0,17,5,7,1,3,2,7,3,10,2,0.41,0.2,19,18,0.84,0.72,5,14,15,14,2,3,0,0,Antony Gautier, 15:00
04/10/2020,6,Brest,Monaco,0.28,0.72,0.56,0.44,0.46,0.55,18,13,1,0,1,8,256,646,73,62,0.65,0.86,0.46,0.78,10,31,0.3,0.23,1,0,7,21,5,2,0,6,1,8,6,13,0.71,0.1,23,11,0.48,0.64,25,15,10,17,3,4,0,0,Johan Hamel, 15:00
03/10/2020,6,Lens,Asse,0.67,0.33,0.49,0.51,0.64,0.36,5,8,2,0,12,0,533,275,78,58,0.86,0.72,0.73,0.48,28,5,0.14,0,2,0,13,2,5,1,2,0,5,0,8,2,0.38,0.5,25,13,0.6,0.54,8,20,23,10,1,1,0,2,Bastien Dechepy, 17:00
04/10/2020,6,Lyon,Marseille,0.68,0.32,0.56,0.44,0.62,0.38,8,11,1,0,19,5,531,266,51,48,0.88,0.71,0.79,0.55,51,8,0.2,0,1,1,24,3,3,1,6,0,7,2,17,1,0.12,0.33,17,13,0.59,0.54,13,47,14,10,1,2,0,1,Stéphanie Frappart, 21:00
04/10/2020,6,Fc Metz,Lorient,0.58,0.42,0.62,0.38,0.71,0.29,21,9,0,1,4,3,534,386,62,53,0.85,0.76,0.77,0.64,24,15,0.29,0.2,3,1,16,10,8,4,1,3,8,7,8,3,0.5,0.4,13,19,0.62,0.68,10,13,10,15,1,2,0,0,Jérôme Miguelgorry, 15:00
04/10/2020,6,Montpellier,Nîmes,0.52,0.48,0.5,0.5,0.52,0.48,11,16,2,0,8,2,404,384,78,76,0.72,0.77,0.59,0.61,23,16,0.26,0.19,0,1,12,8,2,1,5,3,4,3,8,5,0.17,0.12,14,13,0.57,0.62,6,18,14,15,2,1,0,0,Benoît Millot, 13:00
03/10/2020,6,Nice,Nantes,0.73,0.27,0.48,0.52,0.56,0.44,18,20,2,2,9,2,758,274,33,52,0.9,0.71,0.81,0.61,27,10,0.18,0.5,2,1,19,11,8,1,5,4,6,5,13,6,0.42,0.09,15,18,0.73,0.56,4,23,13,8,2,1,0,1,Jérôme Brisard, 21:00
02/10/2020,6,Psg,Angers,0.57,0.43,0.55,0.45,0.55,0.46,11,10,2,0,6,2,648,478,19,35,0.92,0.87,0.88,0.81,11,10,0.09,0.3,6,1,18,8,12,2,4,1,6,3,12,5,0.67,0.25,21,19,0.71,0.53,5,9,11,9,1,2,0,0,Frank Schneider, 21:00
04/10/2020,6,Rennes,Reims,0.74,0.26,0.51,0.49,0.62,0.38,7,11,0,2,10,2,651,232,47,48,0.89,0.67,0.76,0.47,37,9,0.3,0.44,2,2,19,9,3,4,7,1,7,3,12,6,0.16,0.44,8,18,0.62,0.44,5,29,12,16,4,3,0,0,Florent Batta, 17:00
